id,name,short_description,long_description,address,point_of_contact,phone_1,phone_2,phone_3,email_1,email_2,email_3,website,hours,extra_info,categories,lat,lon
00000124,H.E.A.R. Center,Diagnostic hearing testing and hearing aid dispensing for all ages,,"301 E Del Mar Blvd, Pasadena, CA 91101",,(626) 796-2016,,,,,,www.hearcenter.org,,,medical health,34.1406719,-118.1440603
00000125,Huntington Ambulatory Care Center,Primary care for adults. Call for details.,,"711 Fairmount Ave S, Pasadena, CA 91105",,(626) 397-5711,,,,,,www.huntingtonhospital.com,,,medical health,34.1337005,-118.1518309
00000126,Huntington Community Health Library,Provides a user-friendly place to access medical information.,,"100 W California Blvd, Pasadena, CA 91105",,(626) 397-5161,,,library@huntingtonhospital.com,,,,,,medical health,34.133639,-118.152753
00000127,Huntington Hospital,Offering a full complement of medical programs and community services,,"100 W California Blvd, Pasadena, CA 91105",,(626) 397-5000,,,,,,,,,medical health,34.133639,-118.152753
00000128,Pasadena Community Urgent Care and Occupational Center,"Executive, pre-employment, DMV, and annual physicals",,"3160 E Del Mar Blvd #110, Pasadena, CA 91107",,(626) 270-2400,,,,,,,,,medical health,34.1418029,-118.0853108
00000129,Pasadena Public Health Dept. Child Health & Disability Prevention Program,Health assessments for the early detection and disease prevention for minors,,"1845 N Fair Oaks Ave #1136, Pasadena, CA 91103",,(626) 744-6111,,,,,,www.cityofpasadena.net/publichealth,,,medical health,34.1777736,-118.1511928
00000130,Pasadena Public Health Dept. Childhood Lead Poisoning Prevention Program,"Information about childhood lead poisoning risks, sources, and prevention techniques",,"1845 N Fair Oaks Ave, Pasadena, CA 91103",,(626) 744-6089,,,,,,www.cityofpasadena.net/publichealth/childhood_lead_poisoning,,,medical health,34.1777736,-118.1511928
00000131,Pasadena Public Health Dept. Healthy Kids,"Low cost, quality healthcare insurance to children ages 0-18 years and pregnant women",,"1845 N Fair Oaks Ave, Pasadena, CA 91103",,(626) 744-6086,(626) 744-6016,,,,,,,,medical health,34.1777736,-118.1511928
00000132,Pasadena Public Health Department Prenatal Clinic,Comprehensive Prenatal care,,"1845 N Fair Oaks Ave #2119, Pasadena, CA 91103",,(626) 744-6125,(800) 304-0015,,,,,www.cityofpasadena.net/publichealth,,,medical health,34.1777736,-118.1511928
00000133,Pasadena Public Health Department Prenatal Clinic Immunization Clinic,Various vaccination services,,"1845 N Fair Oaks Ave #122, Pasadena, CA 91103",,(626) 744-6121,,,,,,www.cityofpasadena.net/publichealth,,,medical health,34.1777736,-118.1511928
00000134,Pasadena Public Health Dept. (TB) Chest Clinic,TB Testing and post-care,,"1845 N Fair Oaks Ave #G19, Pasadena, CA 91103",,(626) 744-6024,,,,,,,,,medical health,34.1777736,-118.1511928
00000135,Pasadena Public Health Dept. Public Health Laboratory,Various disease testing .,,"1845 N Fair Oaks Ave #P310, Pasadena, CA 91103",,(626) 744-6011,,,,,,www.cityofpasadena.net/publichealth,,,medical health,34.1777736,-118.1511928
00000136,PUSD Primary Health Care Clinic,Medical services for uninsured children preschool through high school,,"351 S Hudson Ave #130, Pasadena, CA 91101",,626) 396-3600 ext 88180,,,,,,,,,medical health,34.1397946,-118.1345051
00000137,Planned Parenthood of Pasadena Healthy Center,"Sexual and reproductive health care, education, information, and outreach",,"1045 N Lake Ave, Pasadena, CA 91104",,(626) 798-0706,(626) 744-6125,,,,,www.pppsgv.org,,,medical health,34.1639686,-118.132852
00000138,Rehabilitation Department, Employment and independent living resource for people with disabilities.,,"150 S Los Robles Ave #300, Pasadena, CA 91101",,(626) 304-8300,,,,,,,,,medical health,34.1433355,-118.1407219
00000139,Child Health & Disability Prevention Program,FREE health promotion and disease prevention program for low-income children and youth in California,,"1845 N Fair Oaks Ave, Pasadena, CA 91103",,(626) 744-6168,,,,,,,,,medical health,34.1777736,-118.1511928
00000140,Huntington For Kids,Pediatrics Services,,"100 W California Blvd, Pasadena, CA 91105",,(626) 397-5000,,,,,,,,,medical health,34.133639,-118.152753
00000141,City of Hope Medical Group: Denham Wendy M MD,Research and treatment center,,"50 Bellefontaine St #203, Pasadena, CA 91105",,(626) 396-2900,,,,,,,,,medical health,34.1313484,-118.1517603
00000142,Convalescent Aid Society,free loan of durable medical equipment (DME) for in-home use ,,"3255 E Foothill Blvd, Pasadena, CA 91107",,(626) 793-1696,,,,,,,,,medical health,34.1503034,-118.0831652
00000143,HealthCare Partners Fair Oaks Office,Medical Services,,"797 S Fair Oaks Ave, Pasadena, CA 91105",,(626) 795-2244,,,,,,,,,medical health,34.1322049,-118.1506301
00000144,Hemophilia Foundation Of Southern California,"Medic alert sponsorship, emergency financial assistance, individual and family counseling, family gatherings and retreats, case management, seminars, advocacy, along with youth focused programs like summer camp, kids club, and HemoGames.",,"959 E Walnut St, Pasadena, CA 91106",,(626) 765-6656,,,,,,,,,medical health,34.1499173,-118.130457
00000145,Huntington Ambulatory Care Center,Full service medical clinic staffed by the hospital’s internal medicine and surgical residents,,"100 W California Blvd, Pasadena, CA 91105",,(626) 397-5711,,,,,,,,,medical health,34.133639,-118.152753
00000146,Huntington Community Health Library ,"Educational articles, books, pamphlets and videos on a variety of medical topics",,"100 W California Blvd, Pasadena, CA 91105",,(626) 397-5000,,,,,,,,,medical health,34.133639,-118.152753
00000147,The Center for Occupational Health At Huntington Hospital,Medical Services,,"800 Fairmount Ave, Pasadena, CA 91105",,(626) 397-5919,,,,,,,,,medical health,34.1357774,-118.1518127
00000148,Huntington Hospital Social Work Department,Counseling,,"100 W California Blvd, Pasadena, CA 91105",,(626) 397-5171,,,,,,,,,medical health,34.133639,-118.152753
00000149,PASADENA UNIFIED SCHOOL DISTRICT PRIMARY HEALTH CLINIC,"Physical exams, counseling, education, referrals, etc.",,"351 S Hudson Ave #130, Pasadena, CA 91101",,(626) 396-3600 ext 88180,,,,,,,,,medical health,34.1397946,-118.1345051
00000150,CITY OF PASADENA MICHAEL D. ANTONOVICH DENTAL CLINIC,Low Cost Dental Care and oral health education,,"1845 N Fair Oaks Ave #1101, Pasadena, CA 91103",,(626) 744-6350,,,,,,,,,medical health,34.1777736,-118.1511928
00000151,PASADENA PUBLIC HEALTH DEPT. PASADENA HEALTHCARE LINK ,Healthcare services and referrals,,"1845 N Fair Oaks Ave, Pasadena, CA 91103",,(626) 744-7445 ,,,,,,,,,medical health,34.1777736,-118.1511928
00000152,PASADENA PUBLIC HEALTH DEPARTMENT TRAVEL & ADULT IMMUNIZATION CLINIC ,Travel immunization services and referrals,,"1845 N Fair Oaks Ave #122, Pasadena, CA 91103",,(626) 396-3600,,,,,,,,,medical health,34.1777736,-118.1511928
00000153,PCC Dental Hygiene Clinic,Low Priced Dental Services,,"1570 E Colorado Blvd #R-511, Pasadena, CA 91106",,(626) 585-7241,,,,,,,,,medical health,34.1439329,-118.119168
00000154,Kids Dental Kare-Pasadena,Dental care services for children,,"1127 E Green St, Pasadena, CA 91106",,(626) 389-2570,,,,,,,,,medical health,34.1448174,-118.1271231
00000155,Action Family Counseling,Intensive Outpatient (IOP) services and half and full day Partial Hospitalization and 24 hour Residential Care,,"3813 E Colorado Blvd, Pasadena, CA 91107",,(800) 367-8336,,,,,,,,,medical health,34.1469207,-118.0702576
00000156,Union Station Homeless Services,"Housing, Benefits enrollment, Health Referrals and Adult Services",,"825 E Orange Grove Blvd, Pasadena, CA 91104",,(626) 240-4550,,,,,,,,,medical health,34.1581873,-118.1334783
00000157,Aurora Las Encinas Hospital,Inpatient treatment,,"2900 E Del Mar Blvd, Pasadena, CA 91107",,(626) 795-9901,,,,,,,,,medical health,34.141656,-118.091085
00000158,Sierra Spring Family Wellness Center,Family health care service,,"960 E Green St #292, Pasadena, CA 91106",,(626) 449-4494,,,,,,,,,medical health,34.1443941,-118.1297836
00000159,Pasadena Public Health Department,Prenatal Care services,,"1845 N Fair Oaks Ave #2129, Pasadena, CA 91103",,(626) 744-6125,,,,,,,,,medical health,34.1777736,-118.1511928
00000160,Young and Healthy,"Free dental, medical and mental health services for low-income. Call for details.",,P.O. Box 93397,,(626) 795-5166,,,info@youngandhealthy-pas.org.,,,,,,medical health,,
00000161,AIDS Service Center,Free and anonymous HIV testing available weekly. Other AIDS services available. Call for details.,,"909 S Fair Oaks Ave, Pasadena, CA 91105",,(626) 441-8495,,,,,,www.aidsservicecenter.org,,,medical health,34.130675,-118.1507212
00000162,American Cancer Society,Cancer treatment information and medical services,,"50 N Hill Ave #200, Pasadena, CA 91106",,(626) 564-6078,,,,,,,,,medical health,34.1469718,-118.1210309
00000163,Cancer Support Community (CSC),"Educational programs, support groups, exercise, stress reduction and nutrition classes, resource library and social activities",,"200 E Del Mar Blvd #118, Pasadena, CA 91105",,(626) 796-1083,,,,,,,,,medical health,34.1402515,-118.1464107
00000164,Huntington Hospital Phil Simon Clinic,Comprehensive medical care for HIV/AIDS clients,,"711 Fairmount Ave, Pasadena, CA 91105",,(626) 397-5480,,,,,,www.thephilsimonclinic.org,,,medical health,34.1334711,-118.1522306
00000165,Pasadena Public Health Department Andrew Escajeda Comprehensive Care Services,Comprehensive HIV/AIDS medical care and treatment,,"1845 N Fair Oaks Ave #G151, Pasadena, CA 91103",,(626) 744-6140,,,,,,,,,medical health,34.1777736,-118.1511928
00000166,Pasadena Public Health Department HIV/STD Antibody Testing,"Anonymous or confidential, oral, Rapid HIV antibody testing",,"1845 N Fair Oaks Ave #G122, Pasadena, CA 91103",,(626) 744-6140,,,,,,,,,medical health,34.1777736,-118.1511928
00000167,HIV/STD Antibody Testing/Family & Women’s Services,"STD testing, family planning, and mental health counseling.",,"1845 N Fair Oaks Ave #G122, Pasadena, CA 91103",,(626) 744-6140,,,,,,,,,medical health,34.1777736,-118.1511928
00000168,Convalescent Aid Society,FREE loan of all types of medical equipment for in-home use to residents of the San Gabriel Valley.,,"3255 E Foothill Blvd, Pasadena, CA 91107",,(626) 793-1696,,,info@cas1.org,,,,,,home health,34.1503034,-118.0831652
00000169,L.A. County In-Home Supportive Services  Burbank Office,Helps pay for in-home safety services. Call for eligibility details.,,"3307 N Glenoaks Blvd, Burbank, CA 91504",,(818) 557-4103,,,,,,,,,home health,34.2055071,-118.3407063
00000170,Personal Assistance Services Council of Los Angeles County (PASC),"Housecleaning, meal preparation, laundry, grocery shopping, personal care services (such as bowel and bladder care, bathing, grooming and paramedical services), accompaniment to medical appointments, and protective supervision for the mentally impaired",,"3452 E Foothill Blvd #900, Pasadena, CA 91107",,(877) 565-4477,,,,,,,,,home health,34.1496765,-118.0787828
00000171,"Presidio Home Care, LLC",Presidio Home Care provides in-home supportive services for the elderly.,,"936 E Green St #105, Pasadena, CA 91106",,(800) 567-4117,,,info@presidiohomecare.com,,,,,,home health,34.1443543,-118.131029
00000172,Door of Hope,Six-month to one-year transitional housing program. Call for eligibility details.,,P.O. Box 90455,,(626) 304-9130,,,info@doorofhope.us,,,,,,housing,,
00000173,Housing Rights Center,Landlord-tenant counseling and housing discrimination investigation. Call for more information.,,"1020 N Fair Oaks Ave #104, Pasadena, CA 91103",,(626) 791-0211,(800) 477-5977,,,,,www.housingrightscenter.org,,,housing,34.1635931,-118.1501538
00000174,Hathaway Sycamores, Residential treatment; foster care and adoption; transitional living assistance for emancipated foster youth; outpatient and school-based mental health services; wraparound/in-home services; psychiatric services; psychological testing; grief counseling; a nonpublic school; and afterschool tutoring/enrichment,,"210 S De Lacey Ave #110, Pasadena, CA 91105",,(626) 421-6160,,,,,,,,,housing,34.1420366,-118.1516944
00000175,YWCA San Gabriel Valley,"Shelter, case management, and support groups.",,"943 N Grand Ave, Covina, CA 91724",,(626) 960-2995,,,,,,www.ywcagv.org,,,housing,34.0969477,-117.8728558
00000176,Fifty-Fifty Leadership,Promoting women’s equal leadership.,,"P. O. Box 11202, Glendale, CA  91226",,(818) 243-2322,,,,,,www.5050leadership.org,,,community programs,34.14,-118.25
00000177,Flintridge Center,Community based programming,,"236 W Mountain St #106, Pasadena, CA 91103",Jaylene Moseley,(626) 449-0839,,,info@Flintridge.org,,,,,,community programs,34.1614061,-118.1576623
00000178,Girl Scouts of Greater Los Angeles,Enhancement opportunities to girls of all ages,,"101 Wheeler Ave, Arcadia, CA 91006",,(626) 677-2200,,,,,,www.girlscoutsla.org,,,community programs,34.1414557,-118.0280381
00000179,Leadership Pasadena,8-month community based leadership training,,"75 S Grand Ave, Pasadena, CA 91105",,(626) 577-2296,,,,,,www.leadershippasadena.org,,,community programs,34.1443298,-118.1618935
00000180,Neighborhood Outreach Workers Program (NOW),"Free prevention, intervention, and mentoring program for gang impacted youth",,"1020 N Fair Oaks Ave, Pasadena, CA 91103",Rebecca Pratt,(626) 744-7306,,,rpra-contractor@cityofpasadena.net,,,,,,community programs,34.1635931,-118.1501538
00000181,Office for Creative Connections,Research and coalition building to address issues of common concern in the community,,"132 N Euclid Ave, Pasadena, CA 91101",,(626) 583-2731,,,,,,www.allsaints-pas.org/occ,,,community programs,34.1478962,-118.1425166
00000182,Pasadena Birthing Project Historic West Adams Regional Office,Preconception Health initiatives,,"2239 W Washington Blvd, Los Angeles, CA 90018",,(323) 732-1350,,,pbpinfo@pasadenabirthingproject.org,,,,,,community programs,34.040274,-118.310408
00000183,Parents Anonymous® of Pasadena,"Empower, inspire and create long term positive changes in families",,"855 N Orange Grove Blvd, Pasadena, CA 91103",,(909) 236-5757 ext 218,,,,,,,,,community programs,34.157281,-118.1528674
00000184,Flintridge Center,Prevention & Intervention programs,,"236 W Mountain St #106, Pasadena, CA 91103",,(626) 449-0839,,,,,,,,,community programs,34.1614061,-118.1576623
00000185,Leadership Pasadena ,"Eight-month series of workshops, retreats, and group projects",,"75 S Grand Ave, Pasadena, CA 91105",,(626) 460-3323,,,,,,,,,community programs,34.1443298,-118.1618935
00000186,San Gabriel Valley Council Boy Scouts of America,"Community-based outdoor adventure, classroom type learning and summer camping opportunities.",,"3450 E Sierra Madre Blvd, Pasadena, CA 91107",,(626) 351-8815,,,,,,www.sgvcbsa.org,,,community programs,34.1611143,-118.0788574
00000187,Bet Tzedek Legal Services,Free legal services,,"145 S Fairfax Ave #200, Los Angeles, CA 90036",,(323) 939-0506,,,,,,www.bettzedek.org,,,legal services,34.0730022,-118.3617324
00000188,Center For Health Care Rights,Offers free information and assistance to Medicare beneficiaries in Los Angeles County,,"520 S La Fayette Park Pl #214, Los Angeles, CA 90057",,(800) 824-0780,(213) 383-4519,,,,,,,,legal services,34.0637055,-118.2821642
00000189,Consumer Action Center,Provides assistance in filling out legal documents,,"1020 N Fair Oaks Ave, Pasadena, CA 91103",Nancy Tafoya Gutierrez,(626) 744-7339,(626) 744-7300,,ntafoya-gutierr@cityofpasadena.net,,,,,,legal services,34.1635931,-118.1501538
00000190,Immigration Legal Assistance Project Los Angeles County Bar Association,Legal assistance and counseling to all categories of low income persons.,,"300 N Los Angeles St #3107, Los Angeles, CA 90012",,(213) 485-1873,,,,,,,,,legal services,34.0537357,-118.2396788
00000191,Long Term Care Ombudsman Program Wise and Healthy Aging,Protection of the rights and dignity of seniors and dependent adults,,"2555 E Colorado Blvd #203, Pasadena, CA 91107",,(626) 793-3510,(800) 334-9473,,,,,www.wiseandhealthyaging.org,,,legal services,34.1464374,-118.0978064
00000192,Los Angeles County District Attorney Victim-Witness Assistance Program,Services to crime victims,,"300 E Walnut St, Pasadena, CA 91101",,(626) 356-5715,,,,,,www.vcgcb.ca.gov,,,legal services,34.1489916,-118.1435414
00000193,WJC Encompass,Conflict resolution programs,,"55 S Grand Ave, Pasadena, CA 91105",,(626) 584-7494,,,,,,,,,legal services,34.1447418,-118.1621429
00000194,LA County Bar Association-Barristers,"Civil Harassment, Tenant/Landlord Senior Programs (Consumer Action Dept.) $20 For qualifying low income",,"1020 N Fair Oaks Ave #300, Pasadena, CA 91103",,(626) 744-7300,,,,,,,,,legal services,34.1635931,-118.1501538
00000195,Neighborhood Legal Services of Los Angeles County,Legal services to low-income residents,,"1104 E Chevy Chase Dr, Glendale, CA 91205",,(800) 433-6251,,,,,,www.nls-la.org,,,legal services,34.1337473,-118.2411334
00000196,Kids Reading to Succeed KRS,1st to 6th graders are invited to participate in a free monthly Saturday reading program,,"363 E Villa St, Pasadena, CA 91101",,(626) 744-6530,,,,,,www.kidsreadingtosucceed.org,,,literacy,34.154688,-118.1428055
00000197,THE COMMUNITY EDUCATION CENTER,Comprehensive educational resources and support programs,,"3035 E Foothill Blvd, Pasadena, CA 91107",,(626) 585-3000,,,,,,,,,literacy,34.1507249,-118.0862689
00000198,Frostig Center of Educational Therapy,Education for children with learning disabilities,,"971 N Altadena Dr, Pasadena, CA 91107",,(626) 791-1255,,,,,,,,,literacy,34.1630108,-118.0987324
00000199,CDI Head Start,"Comprehensive early childhood education, health, nutrition, and parent involvement services to low-income children and their families",,"2555 E Colorado Blvd #301, Pasadena, CA 91107",,(626) 204-8900,,,,,,,,,literacy,34.1464374,-118.0978064
00000200,I Am Foundation,"Self-esteem literacy, resiliency education, and social entrepreneurship training ",,"464 E Walnut St, Pasadena, CA 91101",,(626) 799-0999,,,,,,,,,literacy,34.1492687,-118.141172
00000201,Lake Avenue Community Foundation,"Tutoring, Mentoring, and Summer Programming.",,"712 E Villa St, Pasadena, CA 91101",,(626) 449-4960,,,,,,,,,literacy,34.1539265,-118.1357581
00000202,San Gabriel Valley Literacy Council,Minimal cost English language instruction for adults at,,P.O. Box 60432,,(626) 298-4731,,,,,,,,,literacy,41.5397073,-88.0460894
00000203,PASADENA READS-La Pintoresca Branch Library,Literacy Tutoring,,"1355 N Raymond Ave, Pasadena, CA 91103",,(626) 744-4034,,,,,,,,,literacy,34.1692911,-118.149572
00000204,PUSD Early Childhood Education ,high-quality child development programs,,"351 S Hudson Ave, Pasadena, CA 91101",,(626) 396-5762 ext 10092,,,,,,,,,literacy,34.1397946,-118.1345051
00000205,PasadenaLEARNs,"Activities complement the school day, and include homework help, leadership, visual and performing arts classes, structured recreation, academic enrichment activities, and literacy development and field trips",,"351 S Hudson Ave, Pasadena, CA 91101",,(626) 396-3600,,,,,,,,,literacy,34.1397946,-118.1345051
00000206,N.A.T.H.A (Neighbors Acting Together Helping All) ," Youth development programs and direct services to underserved children and youth, Kindergarten-12th grade",,"2023 Lincoln Ave, Pasadena, CA 91103",,(626) 794-5889,,,,,,,,,literacy,34.180465,-118.1599674
00000207,Head Start Scott Center CCFS,"Comprehensive early childhood education, health, nutrition, and parent involvement services to low-income children and their families",,"2034 N Fair Oaks Ave, Pasadena, CA 91103",,(626) 791-3329,,,,,,,,,literacy,34.1806298,-118.15053
00000208,Club 21 Learning & Resource,Services for down syndrome,,"539 N Lake Ave, Pasadena, CA 91101",,(626) 844-1821,,,,,,,,,mental health,34.1553733,-118.1327784
00000209,Arcadia Mental Health Center  Los Angeles County Dept. of Mental Health,Information and referral on mental health and medication services,,"330 Live Oak Ave, Arcadia, CA 91006",,(626) 821-5858,,,,,,www.dmh.lacounty.gov,,,mental health,34.1082147,-118.0219209
00000210,Aurora Las Encinas Hospital,Behavioral health hospital.,,"2900 E Del Mar Blvd, Pasadena, CA 91107",,(626) 795-9901,,,,,,www.aurorabehavioral.com,,,mental health,34.141656,-118.091085
00000211,Della Martin Center Huntington Memorial Hospital,Provides mental health services to patients and their families.,,"100 W California Blvd, Pasadena, CA 91105",,(626) 397-2329,,,,,,,,,mental health,34.133639,-118.152753
00000212,D’Veal Family and Youth Services,"Provides individual, family, and group counseling for children and adolescents.",,"1845 N Fair Oaks Ave #2600, Pasadena, CA 91103",,(626) 296-8900,,,dveal3@aol.com,,,,,,mental health,34.1777736,-118.1511928
00000213,Foothill Family Service,Professional outpatient counseling and case management services,,"118 S Oak Knoll Ave, Pasadena, CA 91101",,(866) 304-4337,,,,,,www.foothillfamily.org,,,mental health,34.1438134,-118.1348036
00000214,"Friends Outside in Los Angeles County, Inc.",Services to persons affected by incarceration,,"464 E Walnut St, Pasadena, CA 91101",,(626) 795-7607,,,info@friendsoutsidela.org,,,,,,mental health,34.1492687,-118.141172
00000215,Fuller Psychological and Family Services,Outpatient counseling and support groups.,,"180 N Oakland Ave, Pasadena, CA 91101",,(626) 584-5555,,,,,,,,,mental health,34.1491846,-118.1394557
00000216,Huntington Hospital - Social Work Dept.,Hospital discharge planning for hospitalized patients.,,"100 W California Blvd, Pasadena, CA 91105",,(626) 397-5171,,,,,,,,,mental health,34.133639,-118.152753
00000217,National Alliance on Mental Illness (NAMI),Family support groups for families with a mentally ill member.,,"2550 E Foothill Blvd #135, Pasadena, CA 91107",,(626) 577-6697,,,,,,http://sgv.nami.org,,,mental health,34.1496173,-118.0979428
00000218,Pacific Clinics Child & Family Specialty Services              ,"School-based services, child outpatient services and intensive mental health services for children.",,"2550 E Foothill Blvd, Pasadena, CA 91107",,(626) 744-5230,(877) 722-2737,,,,,www.pacificclinics.org,,,mental health,34.1496173,-118.0979428
00000219,Pacific Clinics at CHAP,Center offers outpatient mental healthcare services to those living in Northwest Pasadena,,"1855 N Fair Oaks Ave #100, Pasadena, CA 91103",,(626) 296-7711 ext. 855,(877) 722-2737,,,,,www.pacificclinics.org,,,mental health,34.1775276,-118.1511579
00000220,Pacific Clinics Pasadena Family Services,Mental Illness Services,,"66 Hurlbut St, Pasadena, CA 91105",,(626) 441-4221,(877) 722-2737,,,,,www.pacificclinics.org,,,mental health,34.12945,-118.151625
00000221,Pasadena Mental Health Center,"Counseling individual, families, child and couples.",,"1495 N Lake Ave, Pasadena, CA 91104",,(626) 798-0907,,,,,,www.pmhc.org,,,mental health,34.1716497,-118.1324594
00000222,Rose City Counseling Center,"Psychoanalytic therapy for adults, adolescents, couples and families.",,"595 E Colorado Blvd #418, Pasadena, CA 91101",,(626) 793-8609,,,,,,www.rosecitycenter.org,,,mental health,34.1461688,-118.1380551
00000223,Della Martin Center,Mental health services to patients and their families,,"100 W California Blvd, Pasadena, CA 91105",,(626) 397-2305,,,,,,,,,mental health,34.133639,-118.152753
00000224,Friends Outside, Unintentional consequences of incarceration and the support and services necessary to address their immediate and long-term need,,"464 E Walnut St, Pasadena, CA 91101",,(626) 795-7607,,,,,,,,,mental health,34.1492687,-118.141172
00000225,Fuller Psychological and Family Services ,Affordable mental health care to individuals and families - See more at: http://fuller.edu/fuller-psychological-and-family-services/#sthash.Gv2ZXhNY.dpuf,,"180 N Oakland Ave, Pasadena, CA 91101",,(626) 584-5555,,,,,,,,,mental health,34.1491846,-118.1394557
00000226,Hathaway-Sycamores Child and Family Services,Provides a comprehensive continuum of care. Call for details.,,"210 S De Lacey Ave #110, Pasadena, CA 91105",,(626) 395-7100,,,,,,www.hathaway-sycamores.org,,,mental health,34.1420366,-118.1516944
00000227,Grace Center,"Emergency response, crisis counseling, evaluation, advocacy, referrals and resources to battered women and their children",,"132 N Euclid Ave, Pasadena, CA 91101",,(626) 355-4545,,,michelle@grace-center.org,,,,,,mental health,34.1478962,-118.1425166
00000228,High Road Program,"Counseling, education and rehabilitation services for substance abuse and other compulsive disorders",,"700 S Arroyo Pkwy, Pasadena, CA 91105",,(626) 795-9540,,,,,,,,,mental health,34.1336462,-118.1469032
00000229,I Count Too,Free Support group,,"100 W California Blvd, Pasadena, CA 91105",,(626) 397-3600,,,hospiceofpasadena@picf.org,,,,,,mental health,34.133639,-118.152753
00000230,Valley Back in Control,Mental Health Services,,"66 Hurlbut St, Pasadena, CA 91105",,(626) 441-1500,,,,,,,,,mental health,34.12945,-118.151625
00000231,Heritage Clinic,"Therapy, counseling, inpatient services for elderly",,"447 N El Molino Ave, Pasadena, CA 91101",,(626) 577-8480,,,,,,,,,mental health,34.1536254,-118.1372529
00000232,Center for Grief and Loss for Children,Greif counseling services for children and families,,"210 S De Lacey Ave #110, Pasadena, CA 91105",,(866) 744-7433,,,,,,,,,mental health,34.1420366,-118.1516944
00000233,National Alliance for the Mentally Ill (NAMI),Mental health services,,"2550 E Foothill Blvd #135, Pasadena, CA 91107",,(626) 577-6697,,,,,,,,,mental health,34.1496173,-118.0979428
00000234,Westminster Center,Counseling services,,"867 Atchison St, Pasadena, CA 91104",,(626) 798-0915,,,,,,,,,mental health,34.1760665,-118.1327463
00000235,La Vie Counseling Center,Counseling and support groups,,"650 Sierra Madre Villa Ave #110, Pasadena, CA 91107",,(800) 483-9591,,,,,,,,,mental health,34.1575045,-118.0811182
00000236,The Daniel Foundation,Social services,,"464 E Walnut St, Pasadena, CA 91101",,(626) 405-4892,,,,,,,,,mental health,34.1492687,-118.141172
00000237,Oakwood Family Treatment Centers,"Therapy, counseling, outpatient services",,"100 S Wilson Ave, Pasadena, CA 91106",,(866) 443-6259,,,,,,,,,mental health,34.144029,-118.127834
00000238,Greenhouse Therapy Center ,"Psychological services to foster developmental and emotional growth for children, adolescents, adults, parents, couples, and families",,"685 E California Blvd, Pasadena, CA 91106",,(626) 795-7910 ,,,,,,,,,mental health,34.136163,-118.1362005
00000239,Westminster Counseling Center,"Provides mental health services to individuals, couples, families, groups.",,"867 Atchison St, Pasadena, CA 91104",,(626) 798-0915,,,,,,www.westminstercenter.org.,,,mental health,34.1760665,-118.1327463
00000240,"Pasadena Public Health Department Maternal, Child and Adolescent Health Outreach",“The Connection” a toll free line for pregnant and parenting women to receive referrals and health insurance information. For eligibity call.,,"1845 N Fair Oaks Ave, Pasadena, CA 91103",,(800) 304-0015,,,,,,www.cityofpasadena.net/publichealth,,,family planning,34.1777736,-118.1511928
00000241,MOM’s Club of Pasadena,We are a support group for full or part-time stay at home moms.,,P.O. Box 93908,,,,,mvp@momsclubpasadena.com.,,,,,,family planning,36.5981753,-121.5826642
00000242,Child Care Information Service,Assist families in obtaining and sustaining quality child care,,"2465 E Walnut St, Pasadena, CA 91107",,(626) 449-8221,,,,,,,,,family planning,34.1485831,-118.0995133
00000243,Mother's Club Family Learning,"REE social services and educational programs to low-income, at-risk families with children ages 0-5",,"980 N Fair Oaks Ave, Pasadena, CA 91103",,(626) 792-2687,,,,,,,,,family planning,34.1628026,-118.1502126
00000244,Pasadena Day Nursery for Child Development (PDN),Child care for children 6 weeks- 5 yrs. old,,"450 Garfield Ave, Pasadena, CA 91101",,(626) 449-6220,,,,,,,,,family planning,34.1535655,-118.1441316
00000245,SafetyBeltSafe U.S.A.,Child passenger safety initiatives and services,,P.O. Box 553,,(800) 745-7233,,,,,,,,,family planning,,
00000246,Planned Parenthood - Pasadena Health Center,"Public access to reproductive health care and family planning through medical services, education, and advocacy - See more at: https://www.plannedparenthood.org/planned-parenthood-pasadena-san-gabriel-valley/who-we-are#sthash.GS6Yby45.dpuf",,"1045 N Lake Ave, Pasadena, CA 91104",,(626) 798-0706,,,,,,,,,family planning,34.1639686,-118.132852
00000247,Moms on the Move,Dedicate to the empowerment of women and children.,,"1500 Navarro Ave #1, Pasadena, CA 91103",,(626) 345-0840,,,,,,,,,family planning,34.171656,-118.153294
00000248,Mothers’ Club Family Learning Center,Education and support programs for mothers and their young children,,"980 N Fair Oaks Ave, Pasadena, CA 91103",,(626) 792-2687,,,,,,www.mothersclub.org,,,family planning,34.1628026,-118.1502126
00000249,Pasadena Public Health Dept. Black Infant Health Program,Services for at-risk pregnant and parenting African-American women and their families.  Call for more details.,,"1845 N Fair Oaks Ave, Pasadena, CA 91103",,(626) 744-6155,,,,,,www.cityofpasadena.net/publichealth,,,family planning,34.1777736,-118.1511928
00000250,Assistance League of Pasadena’s Craft Fair Gift Shop,A consignment shop run by volunteers displaying items handcrafted by seniors,,"820 E California Blvd, Pasadena, CA 91106",,,,,,,,,,,senior services,34.1356372,-118.1335693
00000251,Assistance League of Pasadena’s Treasure Fair Thrift Shop,Resale shop staffed by members of Assistance League of Pasadena.,,"3239 E Foothill Blvd, Pasadena, CA 91107",,(626) 449-3326,,,alpasadena@sbcglobal.net,,,,,,senior services,34.1502941,-118.0834136
